ID: koa_10109012_002 | T:2 vs O:4
ID: koa_10109013_002 | T:2 vs O:4
ID: koa_10109013_004 | T:11 vs O:9
ID: koa_10109015_003 | T:7 vs O:9
ID: koa_10109018_004 | T:5 vs O:9
ID: koa_10109019_003 | T:4 vs O:8
ID: koa_10109020_001 | T:28 vs O:15
ID: koa_10109020_003 | T:19 vs O:13
ID: koa_10109021_001 | T:9 vs O:6
ID: koa_10109021_002 | T:18 vs O:14
ID: koa_10109021_003 | T:10 vs O:8
ID: koa_10109021_004 | T:14 vs O:12
ID: koa_10109021_005 | T:5 vs O:3
ID: koa_10109022_001 | T:24 vs O:21
ID: koa_10109025_003 | T:20 vs O:16
ID: koa_10109025_004 | T:1 vs O:3
ID: koa_10109026_001 | T:22 vs O:24
ID: koa_10109028_002 | T:17 vs O:14
ID: koa_10110001_001 | T:27 vs O:25
ID: koa_10110002_002 | T:26 vs O:24
ID: koa_10110004_001 | T:1 vs O:3
ID: koa_10110005_001 | T:13 vs O:16
ID: koa_10110008_001 | T:6 vs O:8
ID: koa_10110008_005 | T:28 vs O:24
ID: koa_10110010_001 | T:1 vs O:3
ID: koa_10110010_005 | T:4 vs O:6
ID: koa_10110011_001 | T:9 vs O:11
ID: koa_10110012_003 | T:4 vs O:2
ID: koa_10110013_002 | T:8 vs O:10
ID: koa_10110015_001 | T:10 vs O:12
ID: koa_10110016_003 | T:11 vs O:13
ID: koa_10110017_001 | T:23 vs O:26
ID: koa_10110020_004 | T:2 vs O:4
ID: koa_10110022_001 | T:16 vs O:18
ID: koa_10110026_004 | T:87 vs O:89
ID: koa_10110027_003 | T:7 vs O:10
ID: koa_10111003_001 | T:7 vs O:9
ID: koa_10111008_001 | T:10 vs O:13
ID: koa_10111009_001 | T:14 vs O:18
ID: koa_10111009_004 | T:8 vs O:10
ID: koa_10111012_003 | T:16 vs O:20
ID: koa_10111015_001 | T:1 vs O:3
ID: koa_10111015_002 | T:12 vs O:14
ID: koa_10111017_001 | T:8 vs O:10
ID: koa_10111017_002 | T:6 vs O:8
ID: koa_10111023_003 | T:14 vs O:12
ID: koa_10111025_001 | T:34 vs O:31
ID: koa_10111027_002 | T:7 vs O:9
ID: koa_10111027_003 | T:5 vs O:3
ID: koa_10111030_006 | T:7 vs O:5
ID: koa_10112003_002 | T:5 vs O:7
ID: koa_10112008_002 | T:1 vs O:3
ID: koa_10112010_004 | T:1 vs O:3
ID: koa_10112016_001 | T:9 vs O:11
ID: koa_10112019_001 | T:3 vs O:5
ID: koa_10112019_002 | T:1 vs O:3
ID: koa_10112020_001 | T:1 vs O:3
ID: koa_10112020_002 | T:4 vs O:6
ID: koa_10112022_002 | T:2 vs O:5
ID: koa_10112022_003 | T:10 vs O:12
ID: koa_10112023_004 | T:53 vs O:49
ID: koa_10112024_002 | T:9 vs O:7
ID: koa_10112025_003 | T:2 vs O:5
ID: koa_10112028_001 | T:1 vs O:3
ID: koa_10112029_001 | T:17 vs O:20
ID: koa_10201004_001 | T:7 vs O:10
ID: koa_10201004_003 | T:24 vs O:21
ID: koa_10201005_001 | T:9 vs O:11
ID: koa_10201006_003 | T:4 vs O:2
ID: koa_10201007_001 | T:13 vs O:19
ID: koa_10201011_003 | T:16 vs O:14
ID: koa_10201019_003 | T:10 vs O:12
ID: koa_10201021_002 | T:7 vs O:9
ID: koa_10201022_001 | T:7 vs O:9
ID: koa_10201023_001 | T:13 vs O:10
ID: koa_10201023_004 | T:8 vs O:11
ID: koa_10201024_002 | T:5 vs O:7
ID: koa_10201025_002 | T:14 vs O:11
ID: koa_10201026_004 | T:30 vs O:28
ID: koa_10201028_001 | T:13 vs O:11
ID: koa_10201029_001 | T:14 vs O:8
ID: koa_10202001_003 | T:10 vs O:7
ID: koa_10202002_003 | T:9 vs O:12
ID: koa_10202003_001 | T:8 vs O:5
ID: koa_10202003_003 | T:9 vs O:6
ID: koa_10202004_001 | T:7 vs O:5
ID: koa_10202005_004 | T:11 vs O:9
ID: koa_10202006_003 | T:6 vs O:4
ID: koa_10202007_002 | T:12 vs O:9
ID: koa_10202008_006 | T:24 vs O:22
ID: koa_10202011_001 | T:13 vs O:10
ID: koa_10202013_002 | T:7 vs O:5
ID: koa_10202017_005 | T:12 vs O:10
ID: koa_10202021_002 | T:3 vs O:5
ID: koa_10202029_004 | T:18 vs O:20
ID: koa_10203006_004 | T:56 vs O:53
ID: koa_10203007_007 | T:9 vs O:12
ID: koa_10203009_001 | T:4 vs O:2
ID: koa_10203009_002 | T:14 vs O:9
ID: koa_10203009_003 | T:6 vs O:4
ID: koa_10203010_001 | T:4 vs O:2
ID: koa_10203010_002 | T:11 vs O:7
ID: koa_10203012_002 | T:1 vs O:3
ID: koa_10203012_003 | T:28 vs O:23
ID: koa_10203013_002 | T:11 vs O:9
ID: koa_10203014_002 | T:6 vs O:4
ID: koa_10203014_005 | T:114 vs O:107
ID: koa_10203015_002 | T:11 vs O:9
ID: koa_10203016_003 | T:4 vs O:2
ID: koa_10203016_004 | T:7 vs O:5
ID: koa_10203016_007 | T:10 vs O:8
ID: koa_10203016_009 | T:37 vs O:31
ID: koa_10203023_004 | T:20 vs O:17
ID: koa_10203023_005 | T:15 vs O:17
ID: koa_10203024_002 | T:23 vs O:20
ID: koa_10203026_001 | T:219 vs O:204
ID: koa_10203026_007 | T:4 vs O:2
ID: koa_10203026_008 | T:7 vs O:5
ID: koa_10203102_002 | T:30 vs O:28
ID: koa_10203104_001 | T:18 vs O:4
ID: koa_10203107_002 | T:5 vs O:3
ID: koa_10203107_004 | T:23 vs O:20
ID: koa_10203110_003 | T:12 vs O:4
ID: koa_10203115_002 | T:13 vs O:11
ID: koa_10203116_002 | T:8 vs O:10
ID: koa_10203120_002 | T:10 vs O:6
ID: koa_10203121_001 | T:4 vs O:2
ID: koa_10203123_003 | T:67 vs O:56
ID: koa_10203124_002 | T:8 vs O:6
ID: koa_10203124_006 | T:3 vs O:1
ID: koa_10203127_001 | T:7 vs O:5
ID: koa_10203127_003 | T:33 vs O:30
ID: koa_10203129_001 | T:18 vs O:14
ID: koa_10204002_002 | T:11 vs O:8
ID: koa_10204008_004 | T:6 vs O:4
ID: koa_10204009_001 | T:11 vs O:13
ID: koa_10204009_002 | T:12 vs O:10
ID: koa_10204011_004 | T:4 vs O:2
ID: koa_10204013_006 | T:8 vs O:6
ID: koa_10204016_003 | T:33 vs O:28
ID: koa_10204019_003 | T:9 vs O:5
ID: koa_10204020_002 | T:5 vs O:3
ID: koa_10204020_005 | T:5 vs O:7
ID: koa_10204021_002 | T:16 vs O:12
ID: koa_10204022_004 | T:13 vs O:11
ID: koa_10204027_001 | T:9 vs O:7
ID: koa_10205001_006 | T:1 vs O:3
ID: koa_10205005_001 | T:11 vs O:14
ID: koa_10205006_004 | T:7 vs O:5
ID: koa_10205006_008 | T:6 vs O:4
ID: koa_10205007_004 | T:1 vs O:3
ID: koa_10205007_006 | T:35 vs O:31
ID: koa_10205007_007 | T:39 vs O:33
ID: koa_10205007_008 | T:11 vs O:8
ID: koa_10205009_001 | T:1 vs O:3
ID: koa_10205012_004 | T:1 vs O:3
ID: koa_10205012_012 | T:12 vs O:10
ID: koa_10205012_014 | T:16 vs O:10
ID: koa_10205013_004 | T:5 vs O:3
ID: koa_10205016_002 | T:1 vs O:4
ID: koa_10205016_003 | T:20 vs O:18
ID: koa_10205016_004 | T:3 vs O:1
ID: koa_10205018_001 | T:2 vs O:4
ID: koa_10205018_002 | T:7 vs O:9
ID: koa_10205021_004 | T:6 vs O:4
ID: koa_10205023_002 | T:9 vs O:7
ID: koa_10205023_006 | T:1 vs O:3
ID: koa_10205023_007 | T:1 vs O:3
ID: koa_10205026_001 | T:47 vs O:43
ID: koa_10205027_004 | T:27 vs O:23
ID: koa_10205027_006 | T:19 vs O:17
ID: koa_10205028_001 | T:20 vs O:16
ID: koa_10205028_003 | T:14 vs O:11
ID: koa_10205028_005 | T:1 vs O:3
ID: koa_10206003_002 | T:11 vs O:8
ID: koa_10206003_003 | T:15 vs O:11
ID: koa_10206003_005 | T:11 vs O:6
ID: koa_10206003_007 | T:9 vs O:7
ID: koa_10206004_002 | T:5 vs O:3
ID: koa_10206006_006 | T:16 vs O:14
ID: koa_10206007_001 | T:18 vs O:16
ID: koa_10206007_003 | T:3 vs O:1
ID: koa_10206007_006 | T:20 vs O:17
ID: koa_10206008_004 | T:35 vs O:31
ID: koa_10206010_001 | T:7 vs O:4
ID: koa_10206011_001 | T:4 vs O:2
ID: koa_10206011_002 | T:27 vs O:24
ID: koa_10206015_002 | T:8 vs O:10
ID: koa_10207001_001 | T:26 vs O:24
ID: koa_10207002_002 | T:45 vs O:43
ID: koa_10207003_002 | T:1 vs O:3
ID: koa_10207005_004 | T:7 vs O:5
ID: koa_10207005_006 | T:4 vs O:2
ID: koa_10207006_009 | T:17 vs O:15
ID: koa_10207007_005 | T:6 vs O:10
ID: koa_10207008_005 | T:3 vs O:1
ID: koa_10207010_003 | T:12 vs O:10
ID: koa_10207011_002 | T:5 vs O:7
ID: koa_10207015_005 | T:34 vs O:31
ID: koa_10207016_015 | T:28 vs O:26
ID: koa_10207018_005 | T:8 vs O:6
ID: koa_10207019_004 | T:9 vs O:7
ID: koa_10207021_001 | T:41 vs O:39
ID: koa_10207022_001 | T:8 vs O:6
ID: koa_10207027_001 | T:5 vs O:3
ID: koa_10207028_002 | T:34 vs O:36
ID: koa_10208003_001 | T:7 vs O:9
ID: koa_10208006_001 | T:4 vs O:6
ID: koa_10208009_003 | T:5 vs O:3
ID: koa_10208010_001 | T:28 vs O:21
ID: koa_10208018_001 | T:17 vs O:15
ID: koa_10208020_008 | T:11 vs O:9
ID: koa_10208022_004 | T:4 vs O:2
ID: koa_10208024_002 | T:11 vs O:9
ID: koa_10209001_003 | T:5 vs O:7
ID: koa_10209004_003 | T:2 vs O:4
ID: koa_10209009_002 | T:8 vs O:5
ID: koa_10209010_003 | T:9 vs O:6
ID: koa_10209018_004 | T:16 vs O:18
ID: koa_10209018_005 | T:54 vs O:46
ID: koa_10209019_005 | T:11 vs O:9
ID: koa_10209023_001 | T:9 vs O:6
ID: koa_10209024_001 | T:7 vs O:9
ID: koa_10209024_002 | T:4 vs O:6
ID: koa_10209025_002 | T:9 vs O:7
ID: koa_10210007_001 | T:19 vs O:16
ID: koa_10210008_003 | T:3 vs O:1
