ID: koa_10008024_003 | T:3 vs O:4
ID: koa_10008024_006 | T:12 vs O:11
ID: koa_10008025_002 | T:2 vs O:3
ID: koa_10008025_003 | T:7 vs O:8
ID: koa_10008025_004 | T:8 vs O:9
ID: koa_10008025_005 | T:2 vs O:3
ID: koa_10008025_008 | T:2 vs O:1
ID: koa_10008025_009 | T:3 vs O:4
ID: koa_10008025_010 | T:2 vs O:1
ID: koa_10008026_001 | T:1 vs O:2
ID: koa_10008026_002 | T:1 vs O:2
ID: koa_10008026_004 | T:2 vs O:3
ID: koa_10008026_005 | T:1 vs O:2
ID: koa_10008027_001 | T:1 vs O:2
ID: koa_10008027_002 | T:1 vs O:2
ID: koa_10008027_005 | T:2 vs O:3
ID: koa_10008028_001 | T:9 vs O:10
ID: koa_10008028_003 | T:2 vs O:3
ID: koa_10008028_004 | T:5 vs O:6
ID: koa_10008028_006 | T:9 vs O:10
ID: koa_10008028_008 | T:4 vs O:3
ID: koa_10008029_001 | T:11 vs O:12
ID: koa_10008029_003 | T:2 vs O:3
ID: koa_10008029_005 | T:1 vs O:2
ID: koa_10008030_003 | T:2 vs O:3
ID: koa_10008030_004 | T:1 vs O:2
ID: koa_10008030_005 | T:1 vs O:2
ID: koa_10009001_002 | T:7 vs O:8
ID: koa_10009003_001 | T:3 vs O:2
ID: koa_10009003_002 | T:14 vs O:13
ID: koa_10009003_003 | T:2 vs O:3
ID: koa_10009004_001 | T:6 vs O:7
ID: koa_10009004_002 | T:3 vs O:2
ID: koa_10009005_001 | T:5 vs O:6
ID: koa_10009005_002 | T:7 vs O:6
ID: koa_10009005_003 | T:1 vs O:2
ID: koa_10009005_004 | T:5 vs O:6
ID: koa_10009005_005 | T:6 vs O:7
ID: koa_10009005_006 | T:1 vs O:2
ID: koa_10009006_003 | T:8 vs O:9
ID: koa_10009007_001 | T:2 vs O:3
ID: koa_10009007_002 | T:1 vs O:2
ID: koa_10009009_001 | T:3 vs O:2
ID: koa_10009010_002 | T:4 vs O:3
ID: koa_10009010_004 | T:2 vs O:3
ID: koa_10009011_001 | T:4 vs O:5
ID: koa_10009011_002 | T:1 vs O:2
ID: koa_10009012_002 | T:2 vs O:3
ID: koa_10009012_004 | T:2 vs O:3
ID: koa_10009013_001 | T:2 vs O:1
ID: koa_10009013_003 | T:8 vs O:9
ID: koa_10009013_005 | T:3 vs O:2
ID: koa_10009014_005 | T:3 vs O:2
ID: koa_10009014_006 | T:3 vs O:2
ID: koa_10009015_002 | T:2 vs O:1
ID: koa_10009016_001 | T:4 vs O:5
ID: koa_10009016_002 | T:5 vs O:4
ID: koa_10009017_002 | T:5 vs O:6
ID: koa_10009017_003 | T:2 vs O:1
ID: koa_10009017_004 | T:23 vs O:22
ID: koa_10009018_001 | T:5 vs O:6
ID: koa_10009018_002 | T:5 vs O:6
ID: koa_10009018_003 | T:1 vs O:2
ID: koa_10009019_002 | T:4 vs O:5
ID: koa_10009019_004 | T:1 vs O:2
ID: koa_10009020_001 | T:3 vs O:2
ID: koa_10009021_002 | T:1 vs O:2
ID: koa_10009022_001 | T:12 vs O:11
ID: koa_10009022_002 | T:2 vs O:3
ID: koa_10009022_004 | T:8 vs O:9
ID: koa_10009023_001 | T:6 vs O:5
ID: koa_10009024_002 | T:1 vs O:2
ID: koa_10009025_002 | T:10 vs O:9
ID: koa_10009025_003 | T:2 vs O:1
ID: koa_10009027_003 | T:2 vs O:3
ID: koa_10010001_001 | T:2 vs O:3
ID: koa_10010002_002 | T:2 vs O:3
ID: koa_10010004_001 | T:7 vs O:6
ID: koa_10010005_001 | T:7 vs O:8
ID: koa_10010006_001 | T:3 vs O:4
ID: koa_10010007_001 | T:1 vs O:2
ID: koa_10010007_002 | T:2 vs O:3
ID: koa_10010007_004 | T:5 vs O:6
ID: koa_10010008_002 | T:8 vs O:9
ID: koa_10010008_003 | T:1 vs O:2
ID: koa_10010008_004 | T:2 vs O:3
ID: koa_10010008_005 | T:3 vs O:2
ID: koa_10010009_001 | T:1 vs O:2
ID: koa_10010010_002 | T:1 vs O:2
ID: koa_10010010_003 | T:1 vs O:2
ID: koa_10010011_001 | T:3 vs O:4
ID: koa_10010012_001 | T:8 vs O:9
