ID: koa_10109016_002 | O:1, T:3
ID: koa_10109016_003 | O:2, T:1
ID: koa_10109018_004 | O:4, T:1
ID: koa_10109019_003 | O:4, T:1
ID: koa_10109020_001 | O:7, T:15
ID: koa_10109020_002 | O:1, T:3
ID: koa_10109020_003 | O:2, T:9
ID: koa_10109021_001 | O:1, T:4
ID: koa_10109021_002 | O:9, T:14
ID: koa_10109021_003 | O:1, T:3
ID: koa_10109021_004 | O:7, T:9
ID: koa_10109022_001 | O:2, T:5
ID: koa_10109023_001 | O:4, T:3
ID: koa_10109025_002 | O:2, T:1
ID: koa_10109025_004 | O:3, T:1
ID: koa_10109026_004 | O:2, T:1
ID: koa_10109027_003 | O:2, T:1
ID: koa_10109028_001 | O:2, T:1
ID: koa_10109028_002 | O:1, T:4
ID: koa_10110001_001 | O:1, T:2
ID: koa_10110002_001 | O:2, T:1
ID: koa_10110004_001 | O:3, T:1
ID: koa_10110005_001 | O:3, T:4
ID: koa_10110006_001 | O:2, T:1
ID: koa_10110007_002 | O:2, T:3
ID: koa_10110008_001 | O:2, T:1
ID: koa_10110008_005 | O:1, T:3
ID: koa_10110009_001 | O:2, T:1
ID: koa_10110010_001 | O:3, T:1
ID: koa_10110010_004 | O:2, T:1
ID: koa_10110011_001 | O:2, T:1
ID: koa_10110012_001 | O:2, T:1
ID: koa_10110012_002 | O:5, T:1
ID: koa_10110013_001 | O:13, T:12
ID: koa_10110013_004 | O:1, T:3
ID: koa_10110013_005 | O:5, T:4
ID: koa_10110014_001 | O:2, T:3
ID: koa_10110014_003 | O:7, T:4
ID: koa_10110015_001 | O:2, T:1
ID: koa_10110015_002 | O:12, T:11
ID: koa_10110015_005 | O:3, T:2
ID: koa_10110016_005 | O:5, T:1
ID: koa_10110016_006 | O:2, T:3
ID: koa_10110016_009 | O:1, T:2
ID: koa_10110019_001 | O:2, T:1
ID: koa_10110020_004 | O:2, T:1
