ID: kua_12801013_001 | O:55, T:55, R:2.25
ID: kua_12801021_001 | O:82, T:53, R:2.23
ID: kua_12801022_001 | O:86, T:32, R:2.21
ID: kua_12805026_001 | O:94, T:6, R:2.35
ID: kua_12807012_003 | O:52, T:4, R:2.31
ID: kua_12812018_001 | O:55, T:3, R:2.43
ID: kua_12902013_002 | O:53, T:54, R:2.17
ID: kua_12912026_010 | O:47, T:1, R:1.95
ID: kua_13007003_001 | O:95, T:10, R:2.13
ID: kua_13011027_002 | O:49, T:3, R:2.27
ID: kua_13102006_001 | O:46, T:1, R:2.45
ID: kua_13104013_001 | O:51, T:3, R:2.19
ID: kua_13112013_001 | O:66, T:9, R:2.23
ID: kua_13204014_001 | O:71, T:8, R:2.44
ID: kua_13303026_005 | O:91, T:4, R:2.27
