ID: koa_10505014_018 | 사유: 기계분할_실패(O:2, T:3)
ID: koa_10505015_001 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10505015_002 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505015_003 | 사유: 가짜매칭_적발(유사도 0.44)
ID: koa_10505015_004 | 사유: 가짜매칭_적발(유사도 0.33)
ID: koa_10505015_005 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505015_007 | 사유: 기계분할_실패(O:2, T:2)
ID: koa_10505015_008 | 사유: 기계분할_실패(O:7, T:9)
ID: koa_10505015_009 | 사유: 가짜매칭_적발(유사도 0.41)
ID: koa_10505015_010 | 사유: 가짜매칭_적발(유사도 0.24)
ID: koa_10505015_011 | 사유: 기계분할_실패(O:13, T:13)
ID: koa_10505015_012 | 사유: 기계분할_실패(O:2, T:3)
ID: koa_10505015_013 | 사유: 기계분할_실패(O:15, T:15)
ID: koa_10505015_014 | 사유: 기계분할_실패(O:21, T:22)
ID: koa_10505016_002 | 사유: 가짜매칭_적발(유사도 0.36)
ID: koa_10505016_003 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505016_005 | 사유: 기계분할_실패(O:2, T:3)
ID: koa_10505016_008 | 사유: 기계분할_실패(O:7, T:6)
ID: koa_10505016_009 | 사유: 가짜매칭_적발(유사도 0.47)
ID: koa_10505016_010 | 사유: 기계분할_실패(O:16, T:16)
ID: koa_10505016_011 | 사유: 가짜매칭_적발(유사도 0.16)
ID: koa_10505016_012 | 사유: 기계분할_실패(O:5, T:3)
ID: koa_10505016_013 | 사유: 기계분할_실패(O:34, T:38)
ID: koa_10505016_014 | 사유: 가짜매칭_적발(유사도 0.30)
ID: koa_10505017_001 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505017_002 | 사유: 기계분할_실패(O:8, T:7)
ID: koa_10505017_003 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505017_004 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505017_005 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505017_006 | 사유: 가짜매칭_적발(유사도 0.42)
ID: koa_10505017_008 | 사유: 기계분할_실패(O:9, T:11)
ID: koa_10505017_009 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10505017_010 | 사유: 기계분할_실패(O:31, T:33)
