ID: koa_10007015_001 | Count: 1
ID: koa_10007015_002 | Count: 2
ID: koa_10007015_003 | Count: 1
ID: koa_10007015_004 | Count: 1
ID: koa_10007016_002 | Count: 1
ID: koa_10007016_003 | Count: 1
ID: koa_10007016_004 | Count: 1
ID: koa_10007017_001 | Count: 1
ID: koa_10007018_001 | Count: 7
ID: koa_10007018_003 | Count: 1
ID: koa_10007020_001 | Count: 1
ID: koa_10007020_002 | Count: 1
ID: koa_10007020_003 | Count: 2
ID: koa_10007020_004 | Count: 7
ID: koa_10007021_002 | Count: 5
ID: koa_10007021_003 | Count: 6
ID: koa_10007021_004 | Count: 1
ID: koa_10007021_005 | Count: 6
ID: koa_10007021_006 | Count: 4
ID: koa_10007021_007 | Count: 1
ID: koa_10007022_001 | Count: 1
ID: koa_10007022_002 | Count: 5
ID: koa_10007022_004 | Count: 5
ID: koa_10007023_002 | Count: 3
ID: koa_10007024_001 | Count: 1
ID: koa_10007024_002 | Count: 1
ID: koa_10007024_003 | Count: 4
ID: koa_10007024_005 | Count: 4
ID: koa_10007024_006 | Count: 1
ID: koa_10007024_009 | Count: 8
ID: koa_10007024_010 | Count: 1
ID: koa_10007027_001 | Count: 5
ID: koa_10007027_002 | Count: 1
ID: koa_10007027_003 | Count: 1
ID: koa_10007028_001 | Count: 9
ID: koa_10007028_002 | Count: 1
ID: koa_10007029_002 | Count: 3
ID: koa_10007030_001 | Count: 4
ID: koa_10008001_001 | Count: 1
ID: koa_10008001_004 | Count: 8
ID: koa_10008002_002 | Count: 3
ID: koa_10008002_003 | Count: 14
ID: koa_10008002_004 | Count: 7
ID: koa_10008002_007 | Count: 2
ID: koa_10008002_008 | Count: 1
ID: koa_10008002_009 | Count: 1
ID: koa_10008003_001 | Count: 13
ID: koa_10008003_002 | Count: 15
ID: koa_10008003_003 | Count: 6
ID: koa_10008003_004 | Count: 1
ID: koa_10008004_001 | Count: 3
ID: koa_10008004_003 | Count: 1
ID: koa_10008005_001 | Count: 3
ID: koa_10008006_002 | Count: 3
ID: koa_10008006_003 | Count: 10
ID: koa_10008006_005 | Count: 5
ID: koa_10008006_006 | Count: 1
ID: koa_10008007_001 | Count: 3
ID: koa_10008007_004 | Count: 1
ID: koa_10008009_001 | Count: 1
ID: koa_10008010_001 | Count: 2
ID: koa_10008010_004 | Count: 2
ID: koa_10008011_002 | Count: 6
ID: koa_10008011_006 | Count: 2
ID: koa_10008012_001 | Count: 4
ID: koa_10008012_005 | Count: 3
ID: koa_10008013_003 | Count: 1
ID: koa_10008013_004 | Count: 1
ID: koa_10008014_001 | Count: 5
ID: koa_10008015_001 | Count: 5
ID: koa_10008016_001 | Count: 1
ID: koa_10008016_005 | Count: 6
ID: koa_10008017_001 | Count: 15
ID: koa_10008017_002 | Count: 3
ID: koa_10008017_005 | Count: 2
ID: koa_10008020_001 | Count: 1
ID: koa_10008020_002 | Count: 2
ID: koa_10008020_008 | Count: 3
ID: koa_10008020_009 | Count: 5
ID: koa_10008020_011 | Count: 4
ID: koa_10008020_012 | Count: 1
ID: koa_10008020_015 | Count: 1
ID: koa_10008021_001 | Count: 1
ID: koa_10008021_003 | Count: 1
ID: koa_10008021_006 | Count: 2
ID: koa_10008022_002 | Count: 3
